,Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
10,Data Scientist,Infologitech,Remote,$85.00 /hr (est.),4.3,"Qualifications:
-10+ years experience with R, SQL, Python, or other data science programming languages; OR Master's/PhD degree and 5+ years experience
Skills
Data science, artificial intelligence and machine learning projects Required 3 Years
Data Analysis Tools - Python, R, RStudio, Jupyter Notebooks, SQL, Tableau Required 3 Years
Building and Training Machine Learning Models Required 3 Years
Database management Nice to have 3 Years
Lead the discussions with business stakeholders to design appropriate model specifications to solve business problems; Highly desired 3 Years",1 to 50 Employees,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1
11,Data Science- Database/Applications Analyst,Salud Revenue Partners,Remote,"$52,000 /yr (est.)",4.5,"Salud Revenue Partners (Salud) is a technology-enabled service company with experienced leadership and a high-performance culture that partners with healthcare providers to improve revenue cycle performance.
Our vision is to be a national model for the delivery of revenue cycle services. We are at the forefront of innovation, applying next-generation process automation and artificial intelligence to focus on the most productive work to help healthcare organizations resolve difficult accounts receivable, find gold in zero balance accounts, achieve the highest coding accuracy and carry out patient-centered solutions to self-pay.
At Salud Revenue Partners, you can work for an organization dedicated to your employee development as well as delivering unparalleled results for our customers. We give staff objectives, exceptional training and technology-enabled resources to accomplish goals – and then set them free to get the job done. We encourage fresh ideas and a collaborative approach to delivering industry-leading solutions to clients.",51 to 200 Employees,2011,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
12,Data Science Engineer - (Day-1 Onsite w/ Flexible WFH Option),Serve Professionals,"San Antonio, TX","$110,000 /yr (est.)",2.4,"Data Science Engineer - (Day-1 Onsite w/ Flexible WFH Option)
San Antonio, TX
Full-Time (W2)
*
Salary: 100K and above, depending on experience
Experience: 6 to 7 years
*
*
Job Description
As a Senior Data Scientist, your archetype is a Business Decision Scientist. Your passions include building a framework to stitch cross domains learning and optimizing them toward mission-specific and multi-mission tasks, uncovering ML models causality relationships, creating an enterprise domain-specific reasoning system to boost actionable insights and optimize resources of the machine learning process, and orchestrating reusable storytelling methodology to apply toward AI translation.
*
*
What is the work?",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
13,Data Science Engineer - 100% Remote,Radian,Maryland,"$112,011 /yr (est.)",4.2,"See yourself at Radian? We see you here too.
At Radian, we see you. For the person you are and the potential you hold. That’s why we’ve embraced a new way of working that lets our people across the country be themselves, be their best and be their boldest. Because when each of us is truly seen, each of us gives our best – and at Radian, we’ll give you our best right back.
See Yourself as a Data Science Engineer
The data science engineer works on a team which develops massively scalable, low latency, real-time streaming event-driven data-mesh infrastructure and batch process event-driven data lake architecture to support both internal operations and data science research, as well as highly available consumer-facing systems and APIs. The position works on developing a centralized analytics data infrastructure to ingest event-based data in real-time from both internal Radian systems and services as well as public data sources. This role is a key enabler for data science operations and will facilitate the creation of machine learning feature stores and data cleansing, normalizing, flattening and enrichment processes. These processes will aggregate thousands of columns of data to provide both customer 360 and property 360 data for state-of-the-art scientific AI model research and development, customer facing systems, as well as internal reporting. The data engineer will work in various data environments and systems including Kafka streaming, Spark batch processes, and various types of data stores including RDBMs, KVS, in-memory data stores, vector databases, and graph databases.",1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD)
14,Data Science Analyst,WIVERSE,Remote,"$112,011 /yr (est.)",4.1,"NO C2C/ Only W-2 Candidates.
Purpose: The Data Science Analyst will support the leasing, development and marketing teams with insights gained from analyzing company data. The candidate must be adept at using large data sets to find opportunities and process optimization and using models to test the effectiveness of different courses of action. To succeed in this position, you must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building, and implementing models, using/creating algorithms, and creating/running simulations. You must have a proven ability to drive business results with your data-based insights.
Job Functions:
1. Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
2. Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies
3. Assess the effectiveness and accuracy of new data sources and data gathering techniques
4. Develop custom data models and algorithms to apply to data sets
5. Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
6. Coordinate with different functional teams to implement models and monitor outcomes
7. Develop processes and tools to monitor and analyze model performance and data accuracy
8. Develop company A/B testing framework and test model quality",51 to 200 Employees,2017,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
15,Data science instructor,MIM,Remote,"$131,513 /yr (est.)",-1,"ABOUT MIM
MIM is a New York based institution that offers management and technology courses since 1984. Given the growing demand for skilled and passionate data scientists, MIM is looking for experienced and passionate instructors for its Data Science Bootcamp. This program will allow our graduates to enhance their data analytics and technology skills hands-on by working with data, writing code and building machine learning models. It will help them find many new career opportunities for make career changes.
https://www.mimusa.edu/
Job Description
Role Description",-1,-1,-1,-1,-1,-1
16,Data Scientist,Kani Solutions,Remote,$77.50 /hr (est.),4.6,"Position: Data Scientist
Location : Charlotte, NC
Job Type : Full Time
This Data Scientist role will work with the Automation Delivery team, IT business partners, Functional consultants, and infrastructure/technology teams to meet customer requirements. You will focus primarily on the end-to-end delivery of ML/AI use cases from pilot/design to release, driving the evolution of ML/AI infrastructure/process, and enabling Cognitive Automation, AI ChatBot, etc.
Key Responsibilities:
Develop and Deploy advanced Machine Learning, Reinforcement learning and Deep Learning Models/algorithms to enhance existing business processes with predictive and intelligent decision making.",201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 million (USD)
17,Assoc Data Analyst,Disney Streaming,"San Francisco, CA",$77.50 /hr (est.),3.1,"The Disney Streaming Data and Analytics organization is seeking an Associate Data Analyst who will be an exceptional addition to our Advanced Analytics, Content team. As Associate Data Analyst, you will join our content team that applies analytical rigor to optimize our content portfolio, merchandising and release strategy.

The right person for this role has exceptional analytical capabilities, thrives in a fast-paced environment, loves problem-solving, is a strong communicator, and is passionate about television and movie content. If you are someone who gains personal satisfaction from utilizing data to drive business decisions and you're eager to learn, then this is a great role for you.

Responsibilities :
WHAT YOU’LL DO


DISNEYTECH",501 to 1000 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
18,Database Analyst I,"Stefanini, Inc","Deerfield, IL","$67,500 /yr (est.)",3.7,"Stefanini Group is hiring for a Database Analyst I.

Exciting opportunity awaits! Let us help you get started. Call Aditya Yadav - (248-728-6487/ Aditya.Yadav@stefanini.com

Job Title: Data Analyst
Travel Requirements: Up to 40%
Travel Locations:
Skaneateles Falls, NY
Batesville, IN
Zealand, MI
Deerfield, IL

Summary:",10000+ Employees,1987,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$1 to $2 billion (USD)
19,Data Analyst,Hulu,"Santa Monica, CA","$75,307 /yr (est.)",3.9,"We are seeking a Data Analyst who will focus on analyzing subscriber retention and engagement. Collaborating across marketing, product, data engineering, data science and business teams, this position will design and implement reporting that enables internal clients to access, explore and monitor data, as well as perform analysis and share underlying trends and insights to help teams have a better understanding of the ESPN+ and Disney+ subscribers, audience behavior and engagement drivers.
Responsibilities
Mine data, perform quantitative analysis and create clear and actionable narratives about our audience, their behaviors, and drivers of retention and engagement.
Partner with colleagues facilitating the design, build and automation of reports / dashboards that provide insight into customer conversion and behavior.
Build intuitive interfaces, infographics, and visualizations to tell stories with data.",1001 to 5000 Employees,2007,Company - Private,Broadcast Media,Media & Communication,$1 to $2 billion (USD)
20,Data Scientist,Bayer,"Chesterfield, MO","$115,000 /yr (est.)",4.1,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.

Data Scientist

YOUR TASKS AND RESPONSIBILITIES",10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
21,Data Scientist,nLeague services Inc.,Remote,$92.50 /hr (est.),3.8,"Data Scientist
Location: 100% remote
Duration: 12+ Months
Client: OPB
Job Id: 688616
Job Description:
State Agency: Governor's Office of Planning and Budget (OPB)
Job Summary:",1 to 50 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD)
22,Faculty - Data Science,Vanguard University,"Costa Mesa, CA","$87,986 /yr (est.)",4.0,"Department of Physical Sciences and Applied Mathematics
Position Description:
The Department of Physical Sciences and Applied Mathematics seeks applications for a full-time, term Data Science faculty position to begin in the Fall Semester, 2022. This position is renewable. Vanguard seeks professionals of Christian faith who are committed to integration of faith and learning in their respective fields. The ideal candidate will be enthusiastic about teaching a broad range of undergraduate courses in data science (and related areas of mathematics), will supply evidence of teaching excellence, and will have the ability to engage in development of the data science curriculum. Other responsibilities include academic advising, service to the department, and service to the college in support of its mission to educate, inspire, and empower its students in the context of a liberal arts curriculum. Opportunities include course development and participation in the undergraduate research program. In addition to a demonstrated teaching ability, applicants must have a commitment to working with and encouraging diversity. Courses to be taught would include:",51 to 200 Employees,College / University,Colleges & Universities,Education,$50 to $100 million (USD),-1
23,"Executive Assistant, Data Science (Remote)",CrowdStrike,California,"$87,986 /yr (est.)",4.4,"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role:
We are seeking a talented and highly motivated Executive Assistant that will be aligned to our CTO organization and capable of providing strategic and operational support to corporate executives at the VP level and above.
Knowledge & Skills:",1001 to 5000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
24,Data Scientist,General Atomics and Affiliated Companies,"Poway, CA","$94,110 /yr (est.)",3.5,"General Atomics Aeronautical Systems, Inc. (GA-ASI), an affiliate of General Atomics, is a world leader in proven, reliable remotely piloted aircraft and tactical reconnaissance radars, as well as advanced high-resolution surveillance systems.

Under general direction, the position reports to a team in the Electrical Test Engineering organization, the Data Scientist is a dynamic position covering technology, people, process, and data strategies for the Test Automation Team. This role will coordinate and/or participate in the development of reports, processes, statistical models, analyses, etc. to meet department requirements in the group test and project data improvement. The candidate ensures data-related mapping, policies, procedures, and processes to address complex business needs.

DUTIES AND RESPONSIBILITIES:
Create reports for internal teams and/or external clients.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.",10000+ Employees,1955,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
25,Product Data Analyst,"busybusy, Inc.",Remote,"$100,000 /yr (est.)",-1,"About busybusy
busybusy is a modern software service that helps construction companies operate more efficiently. We leverage our highly engaging timetracking service to solve a wide variety of problems for our customers including job-site documentation, scheduling, progress tracking, safety sign-off’s, and equipment tracking. busybusy’s main office is located in Saint George Utah and our team also includes many working out of Salt Lake, Denver, and other remote locations.
Our mission is to improve the culture of construction by adding trust and transparency to enable companies to empower their people to eliminate waste, increase productivity and live happier work lives. And this starts with busybusy, that’s why we’re committed to building our own fantastic work culture built on integrity and collaboration.
We are looking for an experienced team member to join our remote Product team. As a member of the product team you will have considerable impact on the future of busybusy’s products, integrations, and feature decisions. The product team works directly with engineering, sales, marketing, senior leadership, external partners, and of course, our customers.",-1,-1,-1,-1,-1,-1
26,Data Analyst (Remote),pulseData,"New York, NY","$70,000 /yr (est.)",5.0,"Join us as we pursue our vision to eliminate preventable sickness. We are a distributed team filled with people who are passionate about our product and seek to deliver the best experience for our customers. At pulseData, we’re committed to our work, our customers, having fun, and each other’s success.

pulseData leverages data science and machine learning for Hospitals and Healthcare companies, to identify patients at risk of costly and avoidable medical outcomes. Our bespoke suite of products not only impacts our customers, but it prevents the suffering of thousands of patients who can receive the care they need before they know they need it. The work you'll do here has a massive impact.
The Role:
You'll be making our data more accessible, understandable, and usable and assisting with client deliverables.
You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines.",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
27,"Online Course Instructor - Analytics & Data Science (Part-Time, Contract)",DataCamp,"Washington, DC","$71,035 /yr (est.)",3.7,"About Us:
DataCamp is on a mission to make the world data fluent by building the future of scalable data education, assessments, certification and collaboration tools for data professionals. Since our launch more than 10 million learners around the world have completed hundreds of millions of DataCamp content items, and over 2,500 businesses and government entities worldwide use DataCamp to make their teams and organizations data fluent.

We will be massively scaling those numbers in 2022 and beyond, and want you to be a part of it!
About the role:
High quality course content and top-tier instruction are critical to our success. As an instructor, you will work with our content team to build a best-in-class data course that helps learners grasp new concepts and practice them through a hands-on learning experience! To be successful, you will need to take ownership over course development and production, collaborate with our curriculum experts and content team, and dedicate approximately per week over 12-16 weeks. No prior teaching experience is necessary. Our curriculum experts and content developers will help you every step of the way as you create the course!",51 to 200 Employees,2013,Company - Private,Education & Training Services,Education,$50 to $100 million (USD)
28,Jr. Data Analyst,PepsiCo,"Plano, TX","$58,085 /yr (est.)",3.9,"Auto req ID: 282581BR

PepsiCo operates in an environment undergoing immense and rapid change. Big-data and digital technologies are driving business transformation that is unlocking new capabilities and business innovations in areas like eCommerce, mobile experiences and IoT. The key to winning in these areas is being able to leverage enterprise data foundations built on PepsiCo’s global business scale to enable business insights, advanced analytics and new product development. PepsiCo’s Data Management and Operations team is tasked with the responsibility of developing quality data collection processes, maintaining the integrity of our data foundations and enabling business leaders and data scientists across the company to have rapid access to the data they need for decision-making and innovation.
What PepsiCo Data Management and Operations does:
Maintain a predictable, transparent, global operating rhythm that ensures always-on access to high-quality data for stakeholders across the company



As a Data Analyst, you will be the key domain expert overseeing PepsiCo's business process and drive a strong discussion for how Supply Chain, Financial, Consumer, Channel, Category business needs to be defined and prioritize by working very closely with business leads, data science team and data engineering team. You'll develop an in-depth understanding of business processes in and translate business requirements to data engineering team in technical way.
Accountabilities



Not Eligible for Relocation
Regular

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement",10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
29,Data Science/Machine Learning Engineer,mroads,"Plano, TX","$104,443 /yr (est.)",3.9,"Mroads is looking to hire “Data Science” with one of fortune 500 direct clients in Plano, TX. Ideal candidate should have strong Python, SQL and Tableau/Power BI experience.
Description:
This position will provide customer and marketing insight to the stakeholders through analysis, research, and modeling.
Provide analytical support to the organization by leveraging data mining tools and analytical methodologies
Assist in data modeling and analysis to determine key customer insights, drive business strategies, and maximize ROI
Integrate internal and external data sources, be comfortable working with both structured and unstructured data",201 to 500 Employees,2011,Private Practice / Firm,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
