,Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
10,Data Science Fellow,Learning Ally,Remote,"$88,155 /yr (est.)",3.6,"Data Science Fellow
Learning Ally is a leading nonprofit education solutions organization that transforms the lives of struggling learners by delivering proven literacy solutions that help students reach their potential. Our mission is to radically change education, transforming the lives of children by providing reading interventions and solutions to help them succeed academically, build self-confidence, and thrive in school and beyond. In the US, 65% of fourth graders read below proficiency and are 400% more likely to drop-out of high school. For most “at risk” students (students of color, low income, English Language Learners and students with learning disabilities) the problem is even more acute.
Learning Ally seeks to break this cycle. With early student assessment, intervention and accommodation and professional development for educators, Learning Ally can identify and prevent learning issues by working with schools and educators to support new and struggling readers. Our solutions build a strong foundation for independent, engaged learners who are empowered to achieve socially, emotionally, and academically, regardless of background or learning difference.",201 to 500 Employees,1948,Nonprofit Organization,Primary & Secondary Schools,Education,$10 to $25 million (USD)
11,Data Science Associate (Remote),pulseData,"New York, NY","$49,680 /yr (est.)",5.0,"pulseData is changing the way healthcare data is utilized within major healthcare sectors. As a series A health-tech startup, we provide the insights necessary for medical staff to understand who has and is at risk of major chronic illnesses. We have rooted ourselves within the Kidney space, and have the capabilities of bringing our approach to many more patient populations given our capabilities.

We recently raised $16.5M in our series A and are growing fast. This means we are onboarding brilliant people and providing endless areas for our employees to grow their careers. We believe in trust and transparency, and enjoy a remote friendly working environment that promotes collaboration and diversity.
The Role:
In your role as a Data Science Associate, you will use machine learning to deliver insightful and actionable intelligence and predictive solutions to our team to improve Healthcare growth in our business. You will gain experience understanding healthcare and developing data driven solutions to improve care delivery, while working closely with other team members of our Data Science and engineering team to deliver value to our business partners. Aside from supporting our data science model creation and data teams, you'll also assist the product team with growth opportunities.",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
12,Data Analyst,SunPower,Remote,"$49,680 /yr (est.)",3.9,"Do you want to change the world? We do, too.
Solar penetration is less than 1%, but just one hour of sunlight, if harnessed, could power the entire world for a year. We have the opportunity to change the way energy is produced, distributed and consumed, and we’re looking for talented, committed people to help us drive our growth and achieve our goals.

SunPower is a solar energy solutions company with a rich heritage of pioneering the best solar technologies in the world. Our solutions are unrivaled in terms of long-term reliability, efficiency, and performance. SunPower offers the only solar + storage solution designed and warranted by one company that gives customers control over electricity consumption. Through design, installation, maintenance, and monitoring, SunPower provides its world-class solar solutions to residential and commercial customers across the U.S.

SunPower is changing the way our world is powered every day with a brilliant, passionate, and driven team of more than 2,500 in North America and the Philippines. In an industry that is reshaping the world’s energy future, there’s no better place to be than SunPower.

We believe that our employees create our brand – with each project, each communication, each task completed and each interaction. SunPower welcomes the forward thinkers, the future savers of the world, the freedom chasers and all those demanding better, cleaner energy.",5001 to 10000 Employees,1985,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$2 to $5 billion (USD)
13,Data Science I (Remote),MediaMath,"New York, NY","$102,479 /yr (est.)",3.1,"This job can be performed remotely from anywhere in the US.
MediaMath's strength is in numbers. Our technology analyzes 200 billion customer opportunities daily– more volume than the top 10 stock exchanges in the world, combined. Over 700 Mathletes in 16 global offices are trusted by two-thirds of the Fortune 500 and partner with thousands of marketers to ensure brands connect with right audiences, in the right place, in the right time.
We believe consumers want to have meaningful conversations with their favorite and yet-to-be-discovered brands across all digital touchpoints. Our omnichannel, integrated programmatic platform unites digital media and big data to maximize the return on every marketing dollar spent by making advertising relevant, personalized, measurable and controllable.
From inventing the DSP category in 2007 to being named a DMP Forrester Challenger (our first year participating in the DMP Wave!) in 2017, we continue to deliver results for marketers more quickly and accurately than any other solution.

Technology is changing the way brands interact with consumers. MediaMath is powering that change. Come be a part of it!",501 to 1000 Employees,2007,Company - Private,Publishing,Media & Communication,$100 to $500 million (USD)
14,"Data Science, Product Analytics",Microsoft,"Redmond, WA","$124,486 /yr (est.)",4.4,"Are you a Data Scientist with a passion for collaborating with Engineers, Product Managers, and other Data Scientists?

We’re looking for someone to join our team of Data Scientists and Technical Program Managers who are focused on driving product growth for the Developer Division. Your efforts will help the organization get more information and insights out of the data produced by our products and experiences.

We expect that you have experience or are interested in doing deep analysis to help us improve our products and experiences for developers. This includes customer journey analysis and statistical modeling to identify factors that are correlated with successful or adverse user outcomes.

You will be working on growing products made in our Developer Division that are used by millions of developers worldwide. According to the 2021 Stack Overflow developer survey, Visual Studio and Visual Studio Code are the leading IDEs used by developers, used by more than 30% and 70% respectively. Our Azure cloud platform is used by more than 30% of developers, with .NET as the most loved framework. We’re constantly striving to learn the needs of developers, how they work and what frustrates them, and how we can help them be more productive. Delighting and retaining developers who use Azure with our tools and services is our core mission.",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
15,Data Analytics Developer - 100% Remote,Stryker,Illinois,"$127,300 /yr (est.)",4.2,"Why join Stryker?
We are proud to be named one of the World’s Best Workplaces and a Best Workplace for Diversity by Fortune Magazine! Learn more about our award-winning organization by visiting stryker.com
Our benefits include bonuses; commissions; healthcare; insurance benefits; retirement programs; stock based plans; paid time off plans; family and parenting leaves; tuition reimbursement; wellness programs; onsite fitness centers and cafeterias; discount purchase programs; and service and performance awards – not to mention various social and recreational activities.

Who We Want:
Data managers. People who enjoy compiling, organizing, and consolidating large volumes of data and reports.",10000+ Employees,1941,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
16,Data Scientist - Development Program,National Security Agency,"Fort Meade, MD","$83,872 /yr (est.)",3.5,"NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, Data Science is a fundamental discipline and is present in nearly every aspect of the mission. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity and technical expertise to analyze large data sets to inform decision-making against foreign threats. Description of Position: Data science at NSA is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybsersecurity challenges. The Data Science Development Program (DSDP) is a three-year opportunity to develop and enhance your data science skills for an NSA career. Participants experience the breadth of data science at NSA through six- to nine-month assignments in a variety of diverse organizations, and collaborate with NSA's experts in the field of data science. You will have opportunities to attend technical conferences with experts from industry and academia. You will routinely discuss and share NSA's challenges and successes at weekly technical roundtables. You will study data science and related subjects in NSA-taught classes. We foster an environment where you will develop your data science skills, allowing you to quickly contribute to NSA's highest priority mission challenges. Graduates of the DSDP may choose their first permanent assignments from any of the NSA Directorates, depending on availability.
As a Data Scientist at NSA, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Collecting and combining data from multiple sources - Identifying and analyzing anomalous data (including metadata) - Applying scientific methods to data evaluation, performing statistical inference, and data mining - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Developing analytic plans, engineer supporting algorithms, and design and implement solutions which execute analytic plans. - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",Unknown,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,-1
17,CS304 Introduction to Data Science,Park University Adjuncts,Remote,"$83,872 /yr (est.)",3.7,"Appointments are made on a term-by-term basis. Adjunct faculty are required to successfully complete an online Canvas LMS orientation course before being scheduled, as well as other training if required by the department. Online instructors must have evidence of successful teaching experience at an accredited college or university before they will be considered as an Online instructor. To teach undergraduate level courses applicants must hold a master’s degree in the discipline in which you wish to teach.

Click on Park University Locations for more information on our campus centers.
Click on Park University’s Catalog for more information on programs and courses.

The Computer Science department prefers you address their Core Learning Outcome’s with your submitted course justification.

Minimum Qualifications
Masters or Ph.D. level degree in the discipline (CS or IS) or in a related discipline (MBA, etc.) from an accredited school AND received graduate credit with a grade of B or better in the course applied to teach, OR one year work experience outside the classroom in a data science field involving coding and statistics.

Course Description
This course introduces the terminology and scientific techniques of data science, including all steps of the data science pipeline. It uses programming, statistics, and specialized tools to process large, real-world data sets, demonstrating the results in visually meaningful ways",1001 to 5000 Employees,2001,College / University,Colleges & Universities,Education,$50 to $100 million (USD)
18,Junior Developer - AI/Data Scientist,"Hindsait, Inc.",Remote,"$62,500 /yr (est.)",-1,"Company Introduction
Hindsait Inc. is a leading Artificial Intelligence company with a mission to eliminate unnecessary health services, errors and biases by harnessing the power of machine intelligence. Hindsait’s AI SaaS platform has proven results of 4+ years of pioneering AI experience in healthcare, working with the finest Fortune 1000 clients, across the USA.
To support our growing business, we are looking for an ambitious Software Developer and Data Scientist, with an analytical bend of mind and a fast learner to join our team.
Hindsait is headquartered in New Jersey with its development center in Amherst, MA.
Job Description",-1,-1,-1,-1,-1,-1
19,Data Scientist,Stitch Fix,Remote,"$62,500 /yr (est.)",3.2,"We’re a team of bright, kind individuals who are motivated by challenge and who care deeply about achieving great things. We know our individual strengths, but believe we only win as a team. We’re transforming the way people find what they love - and we need your big ideas. We just might be the perfect fit.
ABOUT THE TEAM
At Stitch Fix, our data science team combines machine learning with expert human judgment to generate innovative recommendations and insights that transform the way our clients discover what they love. We believe in a curiosity-driven data science culture where members are empowered to deliver impact through end-to-end model development. The diversity of the problems that we work on and the data-rich environment of our business make it possible, even essential, to bring the tools of multiple disciplines to bear on our hardest problems. As a $2B+ company, our growing business is looking for data scientists to join us in the revolutionization of retail.
ABOUT THE ROLE
This is a full-stack data scientist role where you will get to work closely with stakeholders to identify impactful problems and build algorithmic solutions. Cross-functional collaboration is deeply meaningful to us and is how we’ve built up immense trust with our partners in Strategy, Product, Merchandising, Styling, Marketing, Engineering, Finance and Operations. You'll have the opportunity to bring your ideas to life by building on a foundation of strong business support, clear vision, engaged internal users, and bright, kind teammates.",10000+ Employees,2011,Company - Public,Other Retail Stores,Retail & Wholesale,$2 to $5 billion (USD)
20,Data Science & Analytics,Digital Trike,"South Jordan, UT","$80,767 /yr (est.)",5.0,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms.",1 to 50 Employees,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
21,Data Scientist,Gravity Tech Inc,Remote,$42.50 /hr (est.),-1,"Position Title: Data Scientist II
Location: Remote
Duration: 6 months+
Only for US Citizen or GC Card Holder
Description:
Data scientists use data and analytical ability to find and interpret rich data sources:
manage large amounts of data despite hardware, software, and bandwidth constraints;
merge data sources; ensure consistency of data sets;
create visualizations to aid in understanding data;",-1,-1,-1,-1,-1,-1
22,Data Science Analyst - Artificial Intelligence,Mayo Clinic,"Rochester, MN","$112,205 /yr (est.)",4.0,"Why Mayo Clinic
Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2021-2022) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you’ll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you’ll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!

Mayo Clinic offers a variety of employee benefits. For additional information please visit Mayo Clinic Benefits. Eligibility may vary.

Position description
Data Scientists at Mayo Clinic perform detailed analysis of large bodies of heterogeneous data in order to discover new patterns and insights having an impact upon patient health and augmenting human capabilities. Candidate has expertise in AI, machine learning, deep learning, statistical data processing, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory and data science methods used to analyze data.
May work with knowledge architects, informaticians and clinicians at Mayo, and partner outside companies to develop and deploy applications to bring AI and analytic solutions to nontechnical users, often at the point of care. Applies and modifies existing scripts or software applications to support data management, data extraction, data analysis, and AI as required May develop predictive models on datasets to address various business problems by leveraging statistical modeling, operations research, machine learning, or data mining techniques. May provide Consultative Services to departments/divisions and/or support scientific projects under the guidance of a designated senior level data scientist.

Other responsibilities:


A Bachelor’s degree in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative and a minimum of three years of professional or research experience in data science will be considered.
The preferred candidate will possess a Master’s degree in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative field and a minimum of one year of professional or research experience in data


Demonstrated ability to develop predictive models to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques. May provide consultative services to departments/divisions and committees. Demonstrated application of several problem-solving methodologies, planning techniques, continuous improvement methods, and analytical tools and methodologies (e.g. machine learning, statistical packages, modeling, etc.) required. Incumbent must have ability to manage a varied workload of projects with multiple priorities and stay current on healthcare trends and enterprise changes. Interpersonal skills and time management skills are required. Requires strong analytical skills and the ability to identify and recommend solutions, advanced computer application skills and a commitment to customer service. Experience with data modeling and date exploration tools.


Exempt


$89,772 - $134,638 / year


Yes


Full Time


80


Day hours


NA


Yes


No


Mayo Clinic is located in the heart of downtown Rochester, Minnesota, a vibrant, friendly city that provides a highly livable environment for more than 34,000 Mayo staff and students. The city is consistently ranked among the best places to live in the United States because of its affordable cost of living, healthy lifestyle, excellent school systems and exceptionally high quality of life.


Kianne Wohlfert


As an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.",10000+ Employees,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1
23,"Staff Data Scientist, Product Analytics",Etsy,"Brooklyn, NY","$120,573 /yr (est.)",4.6,"Company Description

Etsy is the global marketplace for unique and creative goods. We build, power, and evolve the tools and technologies that connect entrepreneurs with buyers around the world. Etsy, Inc.'s 'house of brands' portfolio has expanded to now include four individually distinct ecommerce brands - Etsy, fashion resale marketplace Depop, musical instrument marketplace Reverb, and Brazil-based handmade goods marketplace Elo7. As an Etsy employee, you'll tackle unique problems alongside talented coworkers committed to Keeping Commerce Human. We're large enough that you'll focus on meaningful, complex challenges, but small enough that you can make a rewarding impact.

Job Description",1001 to 5000 Employees,2005,Company - Public,Other Retail Stores,Retail & Wholesale,$1 to $2 billion (USD)
24,Data Scientist,Massachusetts General Hospital(MGH),"Boston, MA","$120,573 /yr (est.)",4.0,"Data Scientist
- (3204558)

GENERAL SUMMARY/OVERVIEW STATEMENT:
The Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Data Scientist/340B develops, maintains, and collects structured and unstructured data sets for analysis and reporting. This data is used to create reports, projections, models, and presentations to support the Pharmacy Department business strategy. This role will assist with the Massachusetts General Hospital operation of the Pharmacy Analytics program. Working as a member of the Pharmacy Analytics Program team, they will be expected to be on-site support for current systems key to reporting and auditing serving as the primary Epic data resource for Epic Willow for designing and maintaining team responsibilities for feeds, reports, dashboards, extracts. Additionally, the Data Scientist will validate existing IT procedures and identify optimization and performance enhancement opportunities. The Data Scientist may be asked to assist in additional areas of the Pharmacy Finance, 340B pr and Supply Chain division when needed.",10000+ Employees,1811,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD)
25,Data Scientist – Remote,Humanity,"Needham, MA","$81,056 /yr (est.)",3.8,"Company Description

Jobs for Humanity is dedicated to building an inclusive and just employment ecosystem. Therefore, we have dedicated this job posting to individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Ethnic Minority, and the Previously Incarcerated. If you identify with any of the following communities do not hesitate to register, even if you feel that this particular opportunity is not the right fit for you.

Company Name: NielsenIQ

Job Description

Company Description",1 to 50 Employees,Company - Private,Less than $1 million (USD),-1,-1,-1
26,Analytics and Data Science Analyst,First Citizens Bank,California,"$81,056 /yr (est.)",3.8,"Overview:
This position supports the Consumer Banking Division and the Digital Bank team at First Citizens Bank. The role provides data and analytics support using predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. Develops and executes upon data A/B testing framework and test model quality. Creates and use advanced machine learning algorithms and statistics: regression, distributions, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc. Coordinates with different functional teams to implement models and monitor outcomes.
Responsibilities:
Works to analyze data from a wide variety of 3rd party data providers: Google Analytics, Adwords, Facebook Insights, etc.
Qualifications:",5001 to 10000 Employees,1898,Company - Public,Banking & Lending,Financial Services,$2 to $5 billion (USD)
27,Data Scientist Assistant,American Institutes for Research,Remote,"$81,056 /yr (est.)",3.8,"Overview:
AIR is currently seeking a Data Scientist Assistant to join our Data Science and Advanced Analytics (DSAA) group. DSAA employs advanced analytics methods to solve complex research questions and address public policy questions to support evidence-based decision-making to solve complex social problems. Candidates hired for the position might initially start working remotely but will eventually have the option to work from our Arlington, VA office or continue to work remotely.

Data Scientists at AIR use a blend of technology skills and theory to contribute to cutting-edge research design, implementation, and capacity building. Our team promotes data scientists’ career development through interdisciplinary collaboration, training opportunities, a community of practice, mentorship and managerial responsibilities, and the opportunity to work on meaningful projects spanning several domains, including education, public health, workforce, science and innovation policy, criminal justice, and housing. We balance contemporary agile development with rigorous approaches to research design, all the while remaining outcomes-driven and aligned to our clients’ missions and goals.




Responsibilities:
Qualifications:",1001 to 5000 Employees,1946,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$100 to $500 million (USD)
28,FAST Data Science Associate,"JPMorgan Chase Bank, N.A.","Plano, TX","$85,934 /yr (est.)",3.7,"The newly formed CCB Data & Analytics team is the engine that powers Chase with insights that are used to create competitive advantages for our business, with an emphasis on creating value for our customers.

Unifying data and analytics talent across Chase, the team encompasses a variety of Data & Analytics disciplines, from data governance and data strategy/partnerships, to reporting, data science and machine learning. You will partner closely with our technology partners, leveraging the cutting edge data and analytics infrastructure they have constructed to ensure front-line impact through transformational projects across sales and marketing.

Within the broader CCB Data & Analytics team, the CCB Focused Analytics Solutions Team (FAST) is responsible for working across CCB to develop and execute actionable data science and analytical solutions.

The team leverages Big Data in a consulting-style environment that places a premium on creative problem solving and client interaction, working on a wide range of strategic, highly visible projects with internal clients, including: Consumer Banking, Home Lending, Card Services, Business Banking and Auto Finance.



As a Data Science Associate you will make a meaningful impact by:



We're looking for highly-motivated team players with a passion for applied data science and with the initiative and insight to develop innovative analytic solutions

Key Qualifications:

Desirable Skills:",Unknown,1799,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable
29,Customer Data Scientist,Deepnote,Remote,"$85,934 /yr (est.)",5.0,"We are looking for a Customer Data Scientist to support our growing customer base of analysts, data scientists, tinkerers and makers.
As a Customer Data Scientist, you will get to meet and work with data teams across many industries and backgrounds. Whether it’s a data analyst at a SaaS company building ad-hoc reports for internal stakeholders, or a healthcare data scientist building complex ML models, you will get broad exposure to new use cases and specialties every week!
In this role, you’ll work alongside Deepnote’s customer facing teams to help support our customers through product demonstrations, working sessions with customers, as well as helping customers implement the product based on best practices.
Deepnote is a new kind of a product in a fast-growing space. On a daily basis you will be seeing requests and issues that you will transform into product feedback, helping us build an amazing product loved by the community and customers.",1 to 50 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
30,Data Science Trainee,Axle Informatics,"Rockville, MD","$87,202 /yr (est.)",3.0,"Overview:
Axle Informatics is a bioinformatics and information technology company that offers innovative computer services, informatics, and enterprise solutions to research centers and healthcare organizations around the globe. With experts in software engineering, bioinformatics and program management, we focus on developing and applying technology tools and techniques to empower decision-making and accelerate the discovery in translational research. We work with some of the top research organizations and facilities in the country including multiple institutes at the National Institutes of health (NIH).

Overview
Axle is seeking a highly ambitious, adaptable, structured, and detail oriented Data Science Trainee to join our vibrant team.

Responsibilities",1 to 50 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD)
